0000,2,A
0256,2,B
0512,2,C
0768,2,D
1024,2,E
1280,2,F
1536,2,G
1792,2,H
2048,1,I
2176,2,J
2432,2,K
2688,2,L
2944,3,M
3328,2,N
3584,2,O
3840,2,P
4096,2,Q
4352,2,R
4608,2,S
4864,2,T
5120,2,U
5376,2,V
5632,3,W
6016,2,X
6272,2,Y
6528,2,Z
6784,3,í
7168,2,ù
7424,2,è
20480,2,é
23296,2,ô
7680,2,&
29952,2,SS
16384,2,0
16640,2,1
16896,2,2
17152,2,3
17408,2,4
17664,2,5
17920,2,6
18176,2,7
18432,2,8
18688,2,9
18944,2,:
15872,1,.
16000,1,'
16256,1,!
8064,1, 
19200,2,-
20224,2,_
19456,2,+
8192,2,a
14208,2,x
9856,2,h
11392,2,o
SLUT
