 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 32 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 400 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 32 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 392 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 0 , 0 , 0 , 0 , 0 , 2.350000016804188E-007 , 2.350000016804188E-007 , 2.350000016804188E-007 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 32 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 400 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 369 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 55 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 0 , 0 , 0 , 0 , 0 , 2.350000016804188E-007 , 2.350000016804188E-007 , 2.350000016804188E-007 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 369 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 63 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 369 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 55 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 0 , 0 , 0 , 0 , 0 , 2.350000016804188E-007 , 2.350000016804188E-007 , 2.350000016804188E-007 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 32 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 824 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 0 , 0 , 0 , 0 , 0 , 2.350000016804188E-007 , 2.350000016804188E-007 , 2.350000016804188E-007 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 369 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 63 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 32 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 392 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 0 , 0 , 0 , 0 , 0 , 2.350000016804188E-007 , 2.350000016804188E-007 , 2.350000016804188E-007 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 63 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 809 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 0 , 0 , 0 , 0 , 0 , 2.350000016804188E-007 , 2.350000016804188E-007 , 0 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 63 ,-300 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 13 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 0 
 30 , 0 ,-106.0599975585938 , 106.0599975585938 , 1 , 0 , 2.350000016804188E-007 , 3.199999980552093E-007 
 36 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 3.199999980552093E-007 
 702 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 3.000000106112566E-007 
 12 , 0 , 0 , 0 , 1 , 0 , 2.350000016804188E-007 , 3.000000106112566E-007 
 0 , 0 , 0 , 0 , 0 , 2.350000016804188E-007 , 2.350000016804188E-007 , 3.000000106112566E-007 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 32 ,-285.7099914550781 , 0 , 0 , 1 , 0 , 1.399999973727972E-007 , 0 
 397 , 0 , 0 , 0 , 1 , 0 , 1.399999973727972E-007 , 0 
 32 ,-285.7099914550781 , 0 , 0 , 1 , 0 , 1.399999973727972E-007 , 0 
 389 , 0 , 0 , 0 , 1 , 0 , 1.399999973727972E-007 , 0 
 6 , 0 , 0 , 0 , 1 , 0 , 1.399999973727972E-007 , 0 
 0 , 0 , 0 , 0 , 0 , 1.399999973727972E-007 , 1.399999973727972E-007 , 0 
 8 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
 32 ,-285.7099914550781 , 0 , 0 , 1 , 0 , 1.399999973727972E-007 , 0 
