102.35,109.57,114.59
102.36,109.56,114.61
102.33,109.54,114.60
102.31,109.52,114.59
102.30,109.53,114.56
102.32,109.54,114.54
102.31,109.52,114.54
102.31,109.51,114.57
102.28,109.50,114.57
102.27,109.49,114.53
102.24,109.47,114.50
102.27,109.49,114.49
102.33,109.68,111.15
000.12,000.05,000.08
000.01,000.01,000.02
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
056.83,076.40,091.85
098.26,105.19,111.92
100.97,107.95,113.35
100.84,107.85,113.31
100.79,107.83,113.30
100.79,107.81,113.29
100.79,107.80,113.31
100.76,107.78,113.29
100.73,107.76,113.26
100.70,107.74,113.20
100.72,107.74,113.21
100.70,107.71,113.20
100.68,107.70,113.19
100.67,107.70,113.13
000.44,000.22,000.22
000.05,000.02,000.04
000.01,000.00,000.02
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.01
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
052.63,071.74,085.28
093.79,104.29,112.20
100.45,107.51,113.09
100.44,107.51,113.16
100.46,107.53,113.18
100.49,107.55,113.18
100.49,107.54,113.21
100.47,107.51,113.19
100.44,107.49,113.18
100.41,107.47,113.13
100.41,107.45,113.10
100.39,107.44,113.08
100.36,107.39,113.06
100.31,107.36,113.04
100.30,107.33,113.00
100.29,107.33,112.98
100.30,107.34,112.98
100.30,107.34,113.00
100.41,098.25,069.67
000.30,000.16,000.17
000.03,000.01,000.03
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.00
000.00,000.00,000.01
038.31,064.33,082.30
096.77,103.36,110.90
100.46,107.56,112.99
100.45,107.52,113.05
100.49,107.55,113.06
100.51,107.60,113.12
100.57,107.65,113.21
100.62,107.70,113.28
100.64,107.73,113.33
100.69,107.76,113.36
100.72,107.81,113.38
100.76,107.84,113.40
100.78,107.86,113.45
100.77,107.85,113.44
100.77,107.85,113.45
100.74,107.81,113.38
100.75,107.84,113.29
100.32,097.20,070.01
000.51,000.24,000.19
000.05,000.02,000.03
000.01,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.01
000.00,000.00,000.00
