0	+28.26	+29.88	+6.22
1	+28.26	+29.88	+6.22
2	+28.26	+29.88	+6.22
3	+28.26	+29.88	+6.22
4	+28.26	+29.88	+6.22
5	+28.26	+29.88	+6.22
6	+28.26	+29.87	+6.22
7	+28.26	+29.87	+6.22
8	+28.26	+29.88	+6.22
9	+28.26	+29.88	+6.22
10	+28.28	+29.88	+6.22
11	+28.26	+29.87	+6.22
12	+28.26	+29.88	+6.22
13	+28.26	+29.88	+6.22
14	+28.28	+29.87	+6.22
15	+28.28	+29.88	+6.22
16	+28.28	+29.88	+6.22
17	+28.26	+29.87	+6.22
18	+28.26	+29.88	+6.22
19	+28.26	+29.88	+6.22
20	+28.26	+29.87	+6.22
21	+28.28	+29.88	+6.22
22	+28.26	+29.87	+6.22
23	+28.28	+29.88	+6.22
24	+28.26	+29.88	+6.22
25	+28.26	+29.88	+6.22
26	+28.26	+29.88	+6.22
27	+28.26	+29.88	+6.22
28	+28.26	+29.88	+6.22
29	+28.28	+29.88	+6.22
30	+28.26	+29.88	+6.22
31	+28.26	+29.88	+6.22
32	+28.26	+29.88	+6.22
33	+28.26	+29.87	+6.22
34	+28.28	+29.88	+6.22
35	+28.26	+29.88	+6.22
36	+28.28	+29.88	+6.22
37	+28.26	+29.88	+6.22
38	+28.28	+29.88	+6.22
39	+28.28	+29.88	+6.22
40	+28.26	+29.88	+6.22
41	+28.28	+29.88	+6.22
42	+28.26	+29.88	+6.22
43	+28.28	+29.87	+6.22
44	+28.26	+29.88	+6.22
45	+28.28	+29.87	+6.22
46	+28.26	+29.87	+6.22
47	+28.26	+29.88	+6.22
48	+28.28	+29.87	+6.22
49	+28.26	+29.88	+6.22
50	+28.26	+29.88	+6.22
51	+28.26	+29.88	+6.22
52	+28.26	+29.87	+6.22
53	+28.28	+29.88	+6.22
54	+28.26	+29.88	+6.22
55	+28.26	+29.88	+6.22
56	+28.26	+29.88	+6.22
57	+28.26	+29.88	+6.22
58	+28.28	+29.88	+6.22
59	+28.28	+29.88	+6.22
60	+28.26	+29.88	+6.22
61	+28.28	+29.88	+6.22
62	+28.28	+29.88	+6.22
63	+28.26	+29.88	+6.22
64	+28.26	+29.88	+6.22
65	+28.28	+29.88	+6.22
66	+28.26	+29.88	+6.22
67	+28.26	+29.87	+6.22
68	+28.28	+29.88	+6.22
69	+28.26	+29.88	+6.22
70	+28.28	+29.88	+6.22
71	+28.26	+29.87	+6.22
72	+28.26	+29.88	+6.22
73	+28.28	+29.87	+6.22
74	+28.26	+29.88	+6.22
75	+28.26	+29.88	+6.22
76	+28.26	+29.88	+6.22
77	+28.26	+29.88	+6.22
78	+28.26	+29.88	+6.22
79	+28.28	+29.88	+6.22
80	+28.26	+29.87	+6.22
