KU    , Date  , Time    , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Weekcode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Comments
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
900000, 020107, 14:12:10,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3112,3278, 78.2,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
042131, 020107, 14:15:20,   0,   0,  0.0,3127,3292, 80.4,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04868,  90,   SMPTE, CENTROPOLIS EFFECTS LLC
900000, 020117,  9:12:09,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3111,3277, 78.0,   0,   0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041281, 020117,  9:16:11,   0,   0,  0.0,3136,3289, 79.6,   0,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04864,  90,   SMPTE, THE POST GROUP
900000, 020117,  9:18:37,   0,   0,  0.0,3111,3277, 78.7,   0,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04864,  90,   SMPTE, THE POST GROUP
900000, 020117, 11:38:38,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3111,3278, 78.7,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041735, 020117, 11:44:22,   0,   0,  0.0,3131,3289, 79.6,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04893,  90,   SMPTE, LASER PACIFIC
041477, 020117, 12:01:13,   0,   0,  0.0,3131,3284, 80.1,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04893,  90,   SMPTE, LASER PACIFIC
