
2013-08-08/10:09:43 : Start of execution...

2013-08-08/10:09:43 : Checking setup...
                      XVP-XX01A presence check succeeded (XVP-1801)...
                      XVP-XX01B presence check succeeded (XVP-1801)...

2013-08-08/10:09:44 : Preparing setup...
                      XVP-XX01A loading user preset #0 succeeded...
                      XVP-XX01B loading user preset #0 succeeded...

2013-08-08/10:09:44 : Opening channels...
                      XVP-XX01A communication channel opening succeeded...
                      XVP-XX01B communication channel opening succeeded...

2013-08-08/10:09:44 : Start of core loop...

A,0000000000,2013-08-08,10:09:47,Delay A,    0, -0.19
B,0000000000,2013-08-08,10:09:55,Delay B,    0, -0.11
A,0000000001,2013-08-08,10:10:09,Delay A,    0, -0.15
B,0000000001,2013-08-08,10:10:14,Delay B,    0, -0.15
A,0000000002,2013-08-08,10:10:24,Delay A,    0, -0.11
B,0000000002,2013-08-08,10:10:31,Delay B,    0, -0.19
B,0000000003,2013-08-08,10:11:08,Delay B,    0, -0.15
A,0000000003,2013-08-08,10:11:20,Delay A,    0, -0.15
B,0000000004,2013-08-08,10:11:35,Delay B,    0, -0.11
A,0000000004,2013-08-08,10:11:45,Delay A,    0, -0.19
B,0000000005,2013-08-08,10:12:02,Delay B,    0, -0.07
A,0000000005,2013-08-08,10:12:12,Delay A,    0, -0.22
B,0000000006,2013-08-08,10:12:29,Delay B,    0, -0.04
A,0000000006,2013-08-08,10:12:40,Delay A,    0, -0.26
A,0000000007,2013-08-08,10:14:04,Delay A,    0, -0.22
B,0000000007,2013-08-08,10:14:12,Delay B,    0, -0.07
2013-08-08/10:14:43 : Saving log...
A,0000000008,2013-08-08,10:14:47,Delay A,    0, -0.19
B,0000000008,2013-08-08,10:14:52,Delay B,    0, -0.11
A,0000000009,2013-08-08,10:14:59,Delay A,    0, -0.15
B,0000000009,2013-08-08,10:15:03,Delay B,    0, -0.15
A,0000000010,2013-08-08,10:15:11,Delay A,    0, -0.11
B,0000000010,2013-08-08,10:15:15,Delay B,    0, -0.19
A,0000000011,2013-08-08,10:15:21,Delay A,    0, -0.07
B,0000000011,2013-08-08,10:15:24,Delay B,    0, -0.22
A,0000000012,2013-08-08,10:15:29,Delay A,    0, -0.04
B,0000000012,2013-08-08,10:15:33,Delay B,    0, -0.26
A,0000000013,2013-08-08,10:15:40,Delay A,    0,  0.00
B,0000000013,2013-08-08,10:15:46,Delay B,    0, -0.30
B,0000000014,2013-08-08,10:16:34,Delay B,    0, -0.26
