
2013-06-21/11:38:24 : Start of execution...

2013-06-21/11:38:24 : Checking setup...
                      XVP-XX01A presence check succeeded (XVP-1801)...
                      XVP-XX01B presence check succeeded (XVP-1801)...

2013-06-21/11:38:24 : Preparing setup...
                      XVP-XX01A loading user preset #0 succeeded...
                      XVP-XX01B loading user preset #0 succeeded...

2013-06-21/11:38:25 : Opening channels...
                      XVP-XX01A communication channel opening succeeded...
                      XVP-XX01B communication channel opening succeeded...

2013-06-21/11:38:25 : Start of core loop...

A,0000000000,2013-06-21,11:38:28,Delay A,    0, -0.19
B,0000000000,2013-06-21,11:39:01,Delay B,    0, -0.07
A,0000000001,2013-06-21,11:39:08,Delay A,    0, -0.22
B,0000000001,2013-06-21,11:40:14,Delay B,    0, -0.04
A,0000000002,2013-06-21,11:40:27,Delay A,    0, -0.26
A,0000000003,2013-06-21,11:40:38,Delay A,    0, -0.22
B,0000000002,2013-06-21,11:40:54,Delay B,    0, -0.07
A,0000000004,2013-06-21,11:42:25,Delay A,    0, -0.19
B,0000000003,2013-06-21,11:42:30,Delay B,    0, -0.11
A,0000000005,2013-06-21,11:43:10,Delay A,    0, -0.15
B,0000000004,2013-06-21,11:43:17,Delay B,    0, -0.15
2013-06-21/11:43:24 : Saving log...
A,0000000006,2013-06-21,11:43:50,Delay A,    0, -0.11
B,0000000005,2013-06-21,11:43:54,Delay B,    0, -0.19
B,0000000006,2013-06-21,11:45:10,Delay B,    0, -0.15
A,0000000007,2013-06-21,11:45:18,Delay A,    0, -0.15
A,0000000008,2013-06-21,11:47:53,Delay A,    0, -0.11
B,0000000007,2013-06-21,11:48:04,Delay B,    0, -0.19
2013-06-21/11:48:24 : Saving log...
A,0000000009,2013-06-21,11:48:43,Delay A,    0, -0.07
B,0000000008,2013-06-21,11:48:49,Delay B,    0, -0.22
B,0000000009,2013-06-21,11:50:21,Delay B,    0, -0.19
A,0000000010,2013-06-21,11:50:36,Delay A,    0, -0.11
B,0000000010,2013-06-21,11:51:01,Delay B,    0, -0.15
A,0000000011,2013-06-21,11:51:14,Delay A,    0, -0.15
B,0000000011,2013-06-21,11:52:13,Delay B,    0, -0.11
A,0000000012,2013-06-21,11:52:19,Delay A,    0, -0.19
A,0000000013,2013-06-21,11:52:57,Delay A,    0, -0.15
B,0000000012,2013-06-21,11:53:05,Delay B,    0, -0.15
2013-06-21/11:53:24 : Saving log...
A,0000000014,2013-06-21,11:53:38,Delay A,    0, -0.11
