PTV 12nc nr     GIT vare nr
2222 861 15331	552-233
2222 861 15338	552-033
2222 861 15339	552-133
2222 861 15391	552-239
2222 861 15398	552-039
2222 861 15399	552-1391
2222 861 15471	552-247
2222 861 15477	552-0047
2222 861 15478	552-047
2222 861 15479	552-147
2222 861 15561	552-256
2222 861 15567	552-0056
2222 861 15568	552-056
2222 861 15569	552-156
2222 861 15687	552-0068
2222 861 15688	552-068
2222 861 15689	552-1681
2222 861 15827	552-0082
2222 861 15828	552-082
2222 861 15829	552-182
2222 863 15102	551-3101
2222 863 15122	551-3121
2222 863 15471	551-247
2222 863 15681	551-268
2222 863 15821	551-282
2222 863 18101	551-2103
2222 863 18102	551-3106
2222 863 18222	551-3224
2315 505 00007	241-41014
2315 505 00107	241-41015
2322 141 10375	211-1741
2322 141 40197	211-175
2322 141 40283	211-2511
2322 141 51067	211-42001
2322 151 71522	211-31521
2322 156 11001	202-2100
2322 156 11002	202-3100
2322 156 11003	202-4100
2322 156 11004	202-5100
2322 156 11005	202-6100
2322 156 11008	202-0100
2322 156 11009	202-1100
2322 156 11101	202-2110
2322 156 11102	202-3110
2322 156 11103	202-4110
2322 156 11104	202-5110
2322 156 11211	202-2121
2322 156 11212	202-3121
2322 156 11213	202-4121
2322 156 11214	202-5121
2322 156 11219	202-1121
2322 156 11301	202-2130
2322 156 11302	202-3130
2322 156 11303	202-4130
2322 156 11309	202-1130
2322 156 11501	202-2150
2322 156 11502	202-3150
2322 156 11503	202-4150
2322 156 11504	202-5150
2322 156 11509	202-1150
2322 156 11621	202-2162
2322 156 11622	202-3162
2322 156 11623	202-4162
2322 156 11624	202-5162
2322 156 11629	202-1162
2322 156 11821	202-2182
2322 156 11822	202-3182
2322 156 11823	202-4182
2322 156 11824	202-5182
2322 156 11828	202-0182
2322 156 11829	202-1182
2322 156 12001	202-2200
2322 156 12002	202-3200
2322 156 12003	202-4200
2322 156 12004	202-5200
2322 156 12009	202-1200
2322 156 12211	202-2221
2322 156 12212	202-3221
2322 156 12213	202-4221
2322 156 12214	202-5221
2322 156 12219	202-1221
2322 156 12431	202-2243
2322 156 12432	202-3243
2322 156 12433	202-4243
2322 156 12434	202-5243
2322 156 12439	202-1243
2322 156 12671	202-2267
2322 156 12672	202-3267
2322 156 12673	202-4267
2322 156 12674	202-5267
2322 156 12679	202-1267
2322 156 12871	202-2287
2322 156 13011	202-2301
2322 156 13012	202-3301
2322 156 13013	202-4301
2322 156 13014	202-5301
2322 156 13321	202-2332
2322 156 13322	202-3332
2322 156 13323	202-4332
2322 156 13324	202-5332
2322 156 13329	202-1332
