KU    , Dato  , Tid     , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Ugekode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Bem‘rkninger
020627, 990125, 14:07:02,3066,3298, 80.9,3165,3386,107.1,2616,2841,4776,3964,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  93  ,     EBU, Reparation.
000004, 990128, 12:34:59,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2954,3197, 78.8,2997,3287,102.0,2500,2677,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
041964, 990128, 12:36:23,3068,3298, 80.5,3178,3377,103.1,2689,2811,4826,3974,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,10993,  90  ,     EBU, Reparation.Edax.
000004, 990128, 13:40:57,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2953,3196, 78.6,2991,3296,102.2,2494,2685,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
041720, 990128, 13:42:01,3068,3300, 80.7,3183,3372,102.7,2647,2819,4831,3978,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,10994,  90  ,     EBU, Reparation.
000004, 990129,  8:41:20,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2954,3201, 78.7,2937,3264, 99.4,2505,2685,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042126, 990129,  8:42:43,3071,3300, 80.6,3169,3344,100.6,2801,2768,4885,3965,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
042127, 990129,  8:52:43,3070,3302, 81.1,3168,3360,102.2,2813,2764,4857,3982,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
000004, 990129,  9:29:01,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2955,3198, 78.4,2937,3256, 98.4,2500,2693,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042128, 990129,  9:30:09,3069,3300, 81.0,3164,3347,100.4,2786,2769,4898,3958,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
