#Release 8.1.03i - par I.27
#Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Thu Jun 28 10:51:23 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HD_Gen_Module_map.ncd
#OUTPUT FILE:      HD_Gen_Module_pad.csv
#PART TYPE:        xc2vp20
#SPEED GRADE:      -6
#PACKAGE:          ff896
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AH27,pc_data_o<2>,IOB,IO_L04P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH28,,,GND,,,,,,,,,,,,,
AH29,pc_data_o<4>,IOB,IO_L03P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH30,pc_data_o<5>,IOB,IO_L03N_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ1,,,VCCAUX,,,,,,,,2.5,,,,,
AJ2,,,GND,,,,,,,,,,,,,
AJ3,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,,
AJ4,,,AVCCAUXRX16,,,,,,,,2.5,,,,,
AJ5,,,VTRXPAD16,,,,,,,,,,,,,
AJ6,,,AVCCAUXTX16,,,,,,,,2.5,,,,,
AJ7,,,VTTXPAD16,,,,,,,,,,,,,
AJ8,,DIFFS,IO_L09N_4,UNUSED,,4,,,,,,,,,,
AJ9,,DIFFM,IO_L45P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AJ10,,DIFFS,IO_L54N_4,UNUSED,,4,,,,,,,,,,
AJ11,,,AVCCAUXRX18,,,,,,,,2.5,,,,,
AJ12,,,VTRXPAD18,,,,,,,,,,,,,
AJ13,,,AVCCAUXTX18,,,,,,,,2.5,,,,,
AJ14,,,VTTXPAD18,,,,,,,,,,,,,
AJ15,,DIFFM,IO_L75P_4/GCLK0P,UNUSED,,4,,,,,,,,,,
AJ16,,DIFFS,IO_L75N_5/GCLK7S,UNUSED,,5,,,,,,,,,,
AJ17,,,AVCCAUXRX19,,,,,,,,2.5,,,,,
AJ18,,,VTRXPAD19,,,,,,,,,,,,,
AJ19,,,AVCCAUXTX19,,,,,,,,2.5,,,,,
AJ20,,,VTTXPAD19,,,,,,,,,,,,,
AJ21,,DIFFM,IO_L54P_5,UNUSED,,5,,,,,,,,,,
AJ22,,DIFFS,IO_L45N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AJ23,,DIFFM,IO_L09P_5,UNUSED,,5,,,,,,,,,,
AJ24,,,AVCCAUXRX21,,,,,,,,2.5,,,,,
AJ25,,,VTRXPAD21,,,,,,,,,,,,,
AJ26,,,AVCCAUXTX21,,,,,,,,2.5,,,,,
AJ27,,,VTTXPAD21,,,,,,,,,,,,,
AJ28,pc_data_o<10>,IOB,IO_L01N_6/VRP_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ29,,,GND,,,,,,,,,,,,,
AJ30,,,VCCAUX,,,,,,,,2.5,,,,,
AK2,,,VCCAUX,,,,,,,,2.5,,,,,
AK3,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,,
AK4,,GTIPAD,RXNPAD16,UNUSED,,,,,,,,,,,,
AK5,,GTIPAD,RXPPAD16,UNUSED,,,,,,,,,,,,
AK6,,GTOPAD,TXPPAD16,UNUSED,,,,,,,,,,,,
AK7,,GTOPAD,TXNPAD16,UNUSED,,,,,,,,,,,,
AK8,,DIFFM,IO_L09P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AK9,,,GND,,,,,,,,,,,,,
AK10,,DIFFM,IO_L54P_4,UNUSED,,4,,,,,,,,,,
AK11,,GTIPAD,RXNPAD18,UNUSED,,,,,,,,,,,,
AK12,,GTIPAD,RXPPAD18,UNUSED,,,,,,,,,,,,
AK13,,GTOPAD,TXPPAD18,UNUSED,,,,,,,,,,,,
AK14,,GTOPAD,TXNPAD18,UNUSED,,,,,,,,,,,,
AK15,,,VCCAUX,,,,,,,,2.5,,,,,
AK16,,,VCCAUX,,,,,,,,2.5,,,,,
AK17,,GTIPAD,RXNPAD19,UNUSED,,,,,,,,,,,,
AK18,,GTIPAD,RXPPAD19,UNUSED,,,,,,,,,,,,
AK19,,GTOPAD,TXPPAD19,UNUSED,,,,,,,,,,,,
AK20,,GTOPAD,TXNPAD19,UNUSED,,,,,,,,,,,,
AK21,,DIFFS,IO_L54N_5,UNUSED,,5,,,,,,,,,,
AK22,,,GND,,,,,,,,,,,,,
AK23,,DIFFS,IO_L09N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AK24,,GTIPAD,RXNPAD21,UNUSED,,,,,,,,,,,,
AK25,,GTIPAD,RXPPAD21,UNUSED,,,,,,,,,,,,
AK26,,GTOPAD,TXPPAD21,UNUSED,,,,,,,,,,,,
AK27,,GTOPAD,TXNPAD21,UNUSED,,,,,,,,,,,,
AK28,pc_data_o<3>,IOB,IO_L01P_6/VRN_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK29,,,VCCAUX,,,,,,,,2.5,,,,,
B1,,,VCCAUX,,,,,,,,2.5,,,,,
B2,,,GND,,,,,,,,,,,,,
B3,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,,
B4,,,AVCCAUXRX9,,,,,,,,2.5,,,,,
B5,,,VTRXPAD9,,,,,,,,,,,,,
B6,,,AVCCAUXTX9,,,,,,,,2.5,,,,,
B7,,,VTTXPAD9,,,,,,,,,,,,,
B8,,DIFFM,IO_L44P_1,UNUSED,,1,,,,,,,,,,
B9,,DIFFS,IO_L47N_1,UNUSED,,1,,,,,,,,,,
B10,,IOB,IO_L50_1/No_Pair,UNUSED,,1,,,,,,,,,,
B11,,,AVCCAUXRX7,,,,,,,,2.5,,,,,
B12,,,VTRXPAD7,,,,,,,,,,,,,
B13,,,AVCCAUXTX7,,,,,,,,2.5,,,,,
B14,,,VTTXPAD7,,,,,,,,,,,,,
B15,,DIFFS,IO_L74N_1/GCLK1P,UNUSED,,1,,,,,,,,,,
B16,,DIFFM,IO_L74P_0/GCLK6S,UNUSED,,0,,,,,,,,,,
B17,,,AVCCAUXRX6,,,,,,,,2.5,,,,,
B18,,,VTRXPAD6,,,,,,,,,,,,,
B19,,,AVCCAUXTX6,,,,,,,,2.5,,,,,
B20,,,VTTXPAD6,,,,,,,,,,,,,
B21,,IOB,IO_L50_0/No_Pair,UNUSED,,0,,,,,,,,,,
B22,,DIFFM,IO_L47P_0,UNUSED,,0,,,,,,,,,,
B23,,DIFFS,IO_L44N_0,UNUSED,,0,,,,,,,,,,
B24,,,AVCCAUXRX4,,,,,,,,2.5,,,,,
B25,,,VTRXPAD4,,,,,,,,,,,,,
B26,,,AVCCAUXTX4,,,,,,,,2.5,,,,,
B27,,,VTTXPAD4,,,,,,,,,,,,,
B28,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,,
B29,,,GND,,,,,,,,,,,,,
B30,,,VCCAUX,,,,,,,,2.5,,,,,
C1,,DIFFM,IO_L04P_2,UNUSED,,2,,,,,,,,,,
C2,,DIFFS,IO_L04N_2/VREF_2,UNUSED,,2,,,,,,,,,,
C3,,,GND,,,,,,,,,,,,,
C4,,DIFFS,IO_L06N_2,UNUSED,,2,,,,,,,,,,
C5,,DIFFS,IO_L03N_2,UNUSED,,2,,,,,,,,,,
C6,,,GNDA9,,,,,,,,,,,,,
C7,,DIFFS,IO_L08N_1,UNUSED,,1,,,,,,,,,,
C8,,DIFFS,IO_L38N_1,UNUSED,,1,,,,,,,,,,
C9,,DIFFM,IO_L47P_1,UNUSED,,1,,,,,,,,,,
C10,,DIFFM,IO_L56P_1,UNUSED,,1,,,,,,,,,,
C11,,DIFFS,IO_L56N_1,UNUSED,,1,,,,,,,,,,
C12,,,GNDA7,,,,,,,,,,,,,
C13,,DIFFS,IO_L68N_1,UNUSED,,1,,,,,,,,,,
C14,,,GND,,,,,,,,,,,,,
C15,,DIFFM,IO_L74P_1/GCLK0S,UNUSED,,1,,,,,,,,,,
C16,,DIFFS,IO_L74N_0/GCLK7P,UNUSED,,0,,,,,,,,,,
C17,,,GND,,,,,,,,,,,,,
C18,,DIFFM,IO_L68P_0,UNUSED,,0,,,,,,,,,,
C19,,,GNDA6,,,,,,,,,,,,,
C20,,DIFFM,IO_L56P_0,UNUSED,,0,,,,,,,,,,
C21,,DIFFS,IO_L56N_0,UNUSED,,0,,,,,,,,,,
C22,,DIFFS,IO_L47N_0,UNUSED,,0,,,,,,,,,,
C23,,DIFFM,IO_L38P_0,UNUSED,,0,,,,,,,,,,
C24,,DIFFM,IO_L08P_0,UNUSED,,0,,,,,,,,,,
C25,,,GNDA4,,,,,,,,,,,,,
C26,,DIFFS,IO_L03N_7,UNUSED,,7,,,,,,,,,,
C27,,DIFFS,IO_L06N_7,UNUSED,,7,,,,,,,,,,
C28,,,GND,,,,,,,,,,,,,
C29,,DIFFS,IO_L04N_7/VREF_7,UNUSED,,7,,,,,,,,,,
C30,,DIFFM,IO_L04P_7,UNUSED,,7,,,,,,,,,,
D1,,DIFFM,IO_L31P_2,UNUSED,,2,,,,,,,,,,
D2,,DIFFS,IO_L31N_2,UNUSED,,2,,,,,,,,,,
D3,,DIFFM,IO_L06P_2,UNUSED,,2,,,,,,,,,,
D4,,,GND,,,,,,,,,,,,,
D5,,DIFFM,IO_L03P_2,UNUSED,,2,,,,,,,,,,
D6,,,NC,,,,,,,,,,,,,
D7,,DIFFM,IO_L08P_1,UNUSED,,1,,,,,,,,,,
D8,,DIFFM,IO_L38P_1,UNUSED,,1,,,,,,,,,,
D9,,,GND,,,,,,,,,,,,,
D10,,DIFFS,IO_L37N_1,UNUSED,,1,,,,,,,,,,
D11,,DIFFS,IO_L43N_1,UNUSED,,1,,,,,,,,,,
D12,,,GND,,,,,,,,,,,,,
D13,,DIFFM,IO_L68P_1,UNUSED,,1,,,,,,,,,,
D14,,DIFFS,IO_L67N_1,UNUSED,,1,,,,,,,,,,
D15,,DIFFS,IO_L73N_1,UNUSED,,1,,,,,,,,,,
D16,,DIFFM,IO_L73P_0,UNUSED,,0,,,,,,,,,,
D17,,DIFFM,IO_L67P_0,UNUSED,,0,,,,,,,,,,
D18,,DIFFS,IO_L68N_0,UNUSED,,0,,,,,,,,,,
D19,,,GND,,,,,,,,,,,,,
D20,,DIFFM,IO_L43P_0,UNUSED,,0,,,,,,,,,,
D21,,DIFFM,IO_L37P_0,UNUSED,,0,,,,,,,,,,
D22,,,GND,,,,,,,,,,,,,
D23,,DIFFS,IO_L38N_0,UNUSED,,0,,,,,,,,,,
D24,,DIFFS,IO_L08N_0,UNUSED,,0,,,,,,,,,,
D25,,,DXN,,,,,,,,,,,,,
D26,,DIFFM,IO_L03P_7,UNUSED,,7,,,,,,,,,,
D27,,,GND,,,,,,,,,,,,,
D28,,DIFFM,IO_L06P_7,UNUSED,,7,,,,,,,,,,
D29,,DIFFS,IO_L31N_7,UNUSED,,7,,,,,,,,,,
D30,,DIFFM,IO_L31P_7,UNUSED,,7,,,,,,,,,,
E1,,DIFFM,IO_L34P_2,UNUSED,,2,,,,,,,,,,
E2,,DIFFS,IO_L34N_2/VREF_2,UNUSED,,2,,,,,,,,,,
E3,,DIFFM,IO_L33P_2,UNUSED,,2,,,,,,,,,,
E4,,DIFFS,IO_L33N_2,UNUSED,,2,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,,
E6,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,,
E7,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,,
E8,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,,
E9,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,,
E10,,DIFFM,IO_L37P_1,UNUSED,,1,,,,,,,,,,
E11,,DIFFM,IO_L43P_1,UNUSED,,1,,,,,,,,,,
E12,,DIFFM,IO_L46P_1,UNUSED,,1,,,,,,,,,,
E13,,DIFFS,IO_L46N_1,UNUSED,,1,,,,,,,,,,
E14,,DIFFM,IO_L67P_1,UNUSED,,1,,,,,,,,,,
E15,,DIFFM,IO_L73P_1,UNUSED,,1,,,,,,,,,,
E16,,DIFFS,IO_L73N_0,UNUSED,,0,,,,,,,,,,
E17,,DIFFS,IO_L67N_0,UNUSED,,0,,,,,,,,,,
E18,,DIFFM,IO_L46P_0,UNUSED,,0,,,,,,,,,,
E19,,DIFFS,IO_L46N_0,UNUSED,,0,,,,,,,,,,
E20,,DIFFS,IO_L43N_0,UNUSED,,0,,,,,,,,,,
E21,,DIFFS,IO_L37N_0,UNUSED,,0,,,,,,,,,,
E22,,DIFFM,IO_L03P_0/VREF_0,UNUSED,,0,,,,,,,,,,
E23,,DIFFS,IO_L03N_0,UNUSED,,0,,,,,,,,,,
E24,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,,
E25,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,,
E26,,,GND,,,,,,,,,,,,,
E27,,DIFFS,IO_L33N_7,UNUSED,,7,,,,,,,,,,
E28,,DIFFM,IO_L33P_7,UNUSED,,7,,,,,,,,,,
E29,,DIFFS,IO_L34N_7/VREF_7,UNUSED,,7,,,,,,,,,,
E30,,DIFFM,IO_L34P_7,UNUSED,,7,,,,,,,,,,
F1,,DIFFM,IO_L37P_2,UNUSED,,2,,,,,,,,,,
F2,,DIFFS,IO_L37N_2,UNUSED,,2,,,,,,,,,,
F3,,DIFFM,IO_L36P_2,UNUSED,,2,,,,,,,,,,
F4,,DIFFS,IO_L36N_2,UNUSED,,2,,,,,,,,,,
F5,,,TDO,,,,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,,
F7,,DIFFM,IO_L02P_1,UNUSED,,1,,,,,,,,,,
F8,,DIFFS,IO_L02N_1,UNUSED,,1,,,,,,,,,,
F9,,DIFFM,IO_L07P_1,UNUSED,,1,,,,,,,,,,
F10,,DIFFS,IO_L07N_1,UNUSED,,1,,,,,,,,,,
F11,,DIFFM,IO_L48P_1,UNUSED,,1,,,,,,,,,,
F12,,DIFFS,IO_L48N_1,UNUSED,,1,,,,,,,,,,
F13,,,GND,,,,,,,,,,,,,
F14,,DIFFS,IO_L49N_1,UNUSED,,1,,,,,,,,,,
F15,,DIFFS,IO_L75N_1/GCLK3P,UNUSED,,1,,,,,,,,,,
F16,brefclk_p_i,DIFFM,IO_L75P_0/GCLK4S,INPUT,LVDS_25_DT,0,,,,NONE,,LOCATED,,NO,NONE,
F17,,DIFFM,IO_L49P_0,UNUSED,,0,,,,,,,,,,
F18,,,GND,,,,,,,,,,,,,
F19,,DIFFM,IO_L48P_0,UNUSED,,0,,,,,,,,,,
F20,,DIFFS,IO_L48N_0,UNUSED,,0,,,,,,,,,,
F21,,DIFFM,IO_L07P_0,UNUSED,,0,,,,,,,,,,
F22,,DIFFS,IO_L07N_0,UNUSED,,0,,,,,,,,,,
F23,,DIFFM,IO_L02P_0,UNUSED,,0,,,,,,,,,,
F24,,DIFFS,IO_L02N_0,UNUSED,,0,,,,,,,,,,
F25,,,GND,,,,,,,,,,,,,
F26,,,TDI,,,,,,,,,,,,,
F27,,DIFFS,IO_L36N_7,UNUSED,,7,,,,,,,,,,
F28,,DIFFM,IO_L36P_7,UNUSED,,7,,,,,,,,,,
F29,,DIFFS,IO_L37N_7,UNUSED,,7,,,,,,,,,,
F30,,DIFFM,IO_L37P_7,UNUSED,,7,,,,,,,,,,
G1,,DIFFM,IO_L40P_2,UNUSED,,2,,,,,,,,,,
G2,,DIFFS,IO_L40N_2/VREF_2,UNUSED,,2,,,,,,,,,,
G3,,DIFFM,IO_L39P_2,UNUSED,,2,,,,,,,,,,
G4,,DIFFS,IO_L39N_2,UNUSED,,2,,,,,,,,,,
G5,,DIFFM,IO_L02P_2,UNUSED,,2,,,,,,,,,,
G6,,DIFFS,IO_L02N_2,UNUSED,,2,,,,,,,,,,
G7,,,TCK,,,,,,,,,,,,,
G8,,DIFFS,IO_L05_1/No_Pair,UNUSED,,1,,,,,,,,,,
G9,,DIFFS,IO_L06N_1,UNUSED,,1,,,,,,,,,,
G10,,DIFFS,IO_L09N_1/VREF_1,UNUSED,,1,,,,,,,,,,
G11,,DIFFS,IO_L39N_1,UNUSED,,1,,,,,,,,,,
G12,,DIFFS,IO_L45N_1/VREF_1,UNUSED,,1,,,,,,,,,,
G13,,DIFFS,IO_L54N_1,UNUSED,,1,,,,,,,,,,
G14,,DIFFM,IO_L49P_1,UNUSED,,1,,,,,,,,,,
G15,,DIFFM,IO_L75P_1/GCLK2S,UNUSED,,1,,,,,,,,,,
G16,brefclk_n_i,DIFFS,IO_L75N_0/GCLK5P,INPUT,LVDS_25_DT,0,,,,NONE,,LOCATED,,NO,NONE,
G17,,DIFFS,IO_L49N_0,UNUSED,,0,,,,,,,,,,
G18,,DIFFM,IO_L54P_0,UNUSED,,0,,,,,,,,,,
G19,,DIFFM,IO_L45P_0/VREF_0,UNUSED,,0,,,,,,,,,,
G20,,DIFFM,IO_L39P_0,UNUSED,,0,,,,,,,,,,
G21,,DIFFM,IO_L09P_0/VREF_0,UNUSED,,0,,,,,,,,,,
G22,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,,
G23,,DIFFM,IO_L05_0/No_Pair,UNUSED,,0,,,,,,,,,,
G24,,,PROG_B,,,,,,,,,,,,,
G25,,DIFFS,IO_L02N_7,UNUSED,,7,,,,,,,,,,
G26,,DIFFM,IO_L02P_7,UNUSED,,7,,,,,,,,,,
G27,,DIFFS,IO_L39N_7,UNUSED,,7,,,,,,,,,,
G28,,DIFFM,IO_L39P_7,UNUSED,,7,,,,,,,,,,
G29,,DIFFS,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,,,,
G30,,DIFFM,IO_L40P_7,UNUSED,,7,,,,,,,,,,
H1,,,GND,,,,,,,,,,,,,
H2,,DIFFS,IO_L43N_2,UNUSED,,2,,,,,,,,,,
H3,,DIFFM,IO_L42P_2,UNUSED,,2,,,,,,,,,,
H4,,DIFFS,IO_L42N_2,UNUSED,,2,,,,,,,,,,
H5,,DIFFM,IO_L32P_2,UNUSED,,2,,,,,,,,,,
H6,,DIFFS,IO_L32N_2,UNUSED,,2,,,,,,,,,,
H7,,,VBATT,,,,,,,,,,,,,
H8,,,TMS,,,,,,,,,,,,,
H9,,DIFFM,IO_L06P_1,UNUSED,,1,,,,,,,,,,
H10,,DIFFM,IO_L09P_1,UNUSED,,1,,,,,,,,,,
H11,,DIFFM,IO_L39P_1,UNUSED,,1,,,,,,,,,,
H12,,DIFFM,IO_L45P_1,UNUSED,,1,,,,,,,,,,
H13,,DIFFM,IO_L54P_1,UNUSED,,1,,,,,,,,,,
H14,,DIFFS,IO_L57N_1/VREF_1,UNUSED,,1,,,,,,,,,,
H15,,DIFFS,IO_L69N_1/VREF_1,UNUSED,,1,,,,,,,,,,
H16,,DIFFM,IO_L69P_0/VREF_0,UNUSED,,0,,,,,,,,,,
H17,,DIFFM,IO_L57P_0/VREF_0,UNUSED,,0,,,,,,,,,,
H18,,DIFFS,IO_L54N_0,UNUSED,,0,,,,,,,,,,
H19,,DIFFS,IO_L45N_0,UNUSED,,0,,,,,,,,,,
H20,,DIFFS,IO_L39N_0,UNUSED,,0,,,,,,,,,,
H21,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,,
H22,,DIFFS,IO_L06N_0,UNUSED,,0,,,,,,,,,,
H23,,,HSWAP_EN,,,,,,,,,,,,,
H24,,,DXP,,,,,,,,,,,,,
H25,,DIFFS,IO_L32N_7,UNUSED,,7,,,,,,,,,,
H26,,DIFFM,IO_L32P_7,UNUSED,,7,,,,,,,,,,
H27,,DIFFS,IO_L42N_7,UNUSED,,7,,,,,,,,,,
H28,,DIFFM,IO_L42P_7,UNUSED,,7,,,,,,,,,,
H29,,DIFFS,IO_L43N_7,UNUSED,,7,,,,,,,,,,
H30,,,GND,,,,,,,,,,,,,
J1,,DIFFS,IO_L46N_2/VREF_2,UNUSED,,2,,,,,,,,,,
J2,,DIFFM,IO_L43P_2,UNUSED,,2,,,,,,,,,,
J3,,DIFFM,IO_L48P_2,UNUSED,,2,,,,,,,,,,
J4,,DIFFS,IO_L48N_2,UNUSED,,2,,,,,,,,,,
J5,,DIFFM,IO_L38P_2,UNUSED,,2,,,,,,,,,,
J6,,DIFFS,IO_L38N_2,UNUSED,,2,,,,,,,,,,
J7,,DIFFM,IO_L05P_2,UNUSED,,2,,,,,,,,,,
J8,,DIFFS,IO_L05N_2,UNUSED,,2,,,,,,,,,,
J9,,,VCCO_2,,,2,,,,,any******,,,,,
J10,,,VCCO_1,,,1,,,,,any******,,,,,
J11,,,VCCO_1,,,1,,,,,any******,,,,,
J12,,,VCCO_1,,,1,,,,,any******,,,,,
J13,,,VCCO_1,,,1,,,,,any******,,,,,
J14,,DIFFM,IO_L57P_1,UNUSED,,1,,,,,,,,,,
J15,,DIFFM,IO_L69P_1,UNUSED,,1,,,,,,,,,,
J16,,DIFFS,IO_L69N_0,UNUSED,,0,,,,,,,,,,
J17,,DIFFS,IO_L57N_0,UNUSED,,0,,,,,,,,,,
J18,,,VCCO_0,,,0,,,,,2.50,,,,,
J19,,,VCCO_0,,,0,,,,,2.50,,,,,
J20,,,VCCO_0,,,0,,,,,2.50,,,,,
J21,,,VCCO_0,,,0,,,,,2.50,,,,,
J22,,,VCCO_7,,,7,,,,,any******,,,,,
J23,,DIFFS,IO_L05N_7,UNUSED,,7,,,,,,,,,,
J24,,DIFFM,IO_L05P_7,UNUSED,,7,,,,,,,,,,
J25,,DIFFS,IO_L38N_7,UNUSED,,7,,,,,,,,,,
J26,,DIFFM,IO_L38P_7,UNUSED,,7,,,,,,,,,,
J27,,DIFFS,IO_L48N_7,UNUSED,,7,,,,,,,,,,
J28,,DIFFM,IO_L48P_7,UNUSED,,7,,,,,,,,,,
J29,,DIFFM,IO_L43P_7,UNUSED,,7,,,,,,,,,,
J30,,DIFFS,IO_L46N_7/VREF_7,UNUSED,,7,,,,,,,,,,
K1,,DIFFM,IO_L46P_2,UNUSED,,2,,,,,,,,,,
K2,,DIFFS,IO_L49N_2,UNUSED,,2,,,,,,,,,,
K3,,DIFFM,IO_L51P_2,UNUSED,,2,,,,,,,,,,
K4,,DIFFS,IO_L51N_2,UNUSED,,2,,,,,,,,,,
K5,,DIFFM,IO_L45P_2,UNUSED,,2,,,,,,,,,,
K6,,DIFFS,IO_L45N_2,UNUSED,,2,,,,,,,,,,
K7,,DIFFM,IO_L35P_2,UNUSED,,2,,,,,,,,,,
K8,,DIFFS,IO_L35N_2,UNUSED,,2,,,,,,,,,,
K9,,,VCCO_2,,,2,,,,,any******,,,,,
K10,,,VCCO_1,,,1,,,,,any******,,,,,
K11,,,VCCO_1,,,1,,,,,any******,,,,,
K12,,,VCCO_1,,,1,,,,,any******,,,,,
K13,,,VCCO_1,,,1,,,,,any******,,,,,
K14,,,VCCO_1,,,1,,,,,any******,,,,,
K15,,,VCCO_1,,,1,,,,,any******,,,,,
K16,,,VCCO_0,,,0,,,,,2.50,,,,,
K17,,,VCCO_0,,,0,,,,,2.50,,,,,
K18,,,VCCO_0,,,0,,,,,2.50,,,,,
K19,,,VCCO_0,,,0,,,,,2.50,,,,,
K20,,,VCCO_0,,,0,,,,,2.50,,,,,
K21,,,VCCO_0,,,0,,,,,2.50,,,,,
K22,,,VCCO_7,,,7,,,,,any******,,,,,
K23,,DIFFS,IO_L35N_7,UNUSED,,7,,,,,,,,,,
K24,,DIFFM,IO_L35P_7,UNUSED,,7,,,,,,,,,,
K25,,DIFFS,IO_L45N_7,UNUSED,,7,,,,,,,,,,
K26,,DIFFM,IO_L45P_7,UNUSED,,7,,,,,,,,,,
K27,,DIFFS,IO_L51N_7,UNUSED,,7,,,,,,,,,,
K28,,DIFFM,IO_L51P_7,UNUSED,,7,,,,,,,,,,
K29,,DIFFS,IO_L49N_7,UNUSED,,7,,,,,,,,,,
K30,,DIFFM,IO_L46P_7,UNUSED,,7,,,,,,,,,,
L1,,DIFFS,IO_L52N_2/VREF_2,UNUSED,,2,,,,,,,,,,
L2,,DIFFM,IO_L49P_2,UNUSED,,2,,,,,,,,,,
L3,,,GND,,,,,,,,,,,,,
L4,,DIFFM,IO_L54P_2,UNUSED,,2,,,,,,,,,,
L5,,DIFFS,IO_L54N_2,UNUSED,,2,,,,,,,,,,
L6,,,GND,,,,,,,,,,,,,
L7,,DIFFM,IO_L41P_2,UNUSED,,2,,,,,,,,,,
L8,,DIFFS,IO_L41N_2,UNUSED,,2,,,,,,,,,,
L9,,,VCCO_2,,,2,,,,,any******,,,,,
L10,,,VCCO_2,,,2,,,,,any******,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.5,,,,,
L13,,,VCCINT,,,,,,,,1.5,,,,,
L14,,,VCCINT,,,,,,,,1.5,,,,,
L15,,,VCCINT,,,,,,,,1.5,,,,,
L16,,,VCCINT,,,,,,,,1.5,,,,,
L17,,,VCCINT,,,,,,,,1.5,,,,,
L18,,,VCCINT,,,,,,,,1.5,,,,,
L19,,,VCCINT,,,,,,,,1.5,,,,,
L20,,,GND,,,,,,,,,,,,,
L21,,,VCCO_7,,,7,,,,,any******,,,,,
L22,,,VCCO_7,,,7,,,,,any******,,,,,
L23,,DIFFS,IO_L41N_7,UNUSED,,7,,,,,,,,,,
L24,,DIFFM,IO_L41P_7,UNUSED,,7,,,,,,,,,,
L25,,,GND,,,,,,,,,,,,,
L26,,DIFFS,IO_L54N_7,UNUSED,,7,,,,,,,,,,
L27,,DIFFM,IO_L54P_7,UNUSED,,7,,,,,,,,,,
L28,,,GND,,,,,,,,,,,,,
L29,,DIFFM,IO_L49P_7,UNUSED,,7,,,,,,,,,,
L30,,DIFFS,IO_L52N_7/VREF_7,UNUSED,,7,,,,,,,,,,
M1,,DIFFM,IO_L52P_2,UNUSED,,2,,,,,,,,,,
M2,,DIFFS,IO_L55N_2,UNUSED,,2,,,,,,,,,,
M3,,DIFFM,IO_L57P_2,UNUSED,,2,,,,,,,,,,
M4,,DIFFS,IO_L57N_2,UNUSED,,2,,,,,,,,,,
M5,,DIFFM,IO_L47P_2,UNUSED,,2,,,,,,,,,,
M6,,DIFFS,IO_L47N_2,UNUSED,,2,,,,,,,,,,
M7,,DIFFM,IO_L44P_2,UNUSED,,2,,,,,,,,,,
M8,,DIFFS,IO_L44N_2,UNUSED,,2,,,,,,,,,,
M9,,,VCCO_2,,,2,,,,,any******,,,,,
M10,,,VCCO_2,,,2,,,,,any******,,,,,
M11,,,VCCINT,,,,,,,,1.5,,,,,
M12,,,GND,,,,,,,,,,,,,
M13,,,GND,,,,,,,,,,,,,
M14,,,GND,,,,,,,,,,,,,
M15,,,GND,,,,,,,,,,,,,
M16,,,GND,,,,,,,,,,,,,
M17,,,GND,,,,,,,,,,,,,
M18,,,GND,,,,,,,,,,,,,
M19,,,GND,,,,,,,,,,,,,
M20,,,VCCINT,,,,,,,,1.5,,,,,
M21,,,VCCO_7,,,7,,,,,any******,,,,,
M22,,,VCCO_7,,,7,,,,,any******,,,,,
M23,,DIFFS,IO_L44N_7,UNUSED,,7,,,,,,,,,,
