#Release 8.1.03i - par I.27
#Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Thu Jun 28 10:51:23 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HD_Gen_Module_map.ncd
#OUTPUT FILE:      HD_Gen_Module_pad.csv
#PART TYPE:        xc2vp20
#SPEED GRADE:      -6
#PACKAGE:          ff896
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AB11,,,VCCO_4,,,4,,,,,any******,,,,,
AB12,,,VCCO_4,,,4,,,,,any******,,,,,
AB13,,,VCCO_4,,,4,,,,,any******,,,,,
AB14,,DIFFS,IO_L49N_4,UNUSED,,4,,,,,,,,,,
AB15,,DIFFS,IO_L67N_4,UNUSED,,4,,,,,,,,,,
AB16,,DIFFM,IO_L67P_5,UNUSED,,5,,,,,,,,,,
AB17,,DIFFM,IO_L49P_5,UNUSED,,5,,,,,,,,,,
AB18,,,VCCO_5,,,5,,,,,2.50,,,,,
AB19,,,VCCO_5,,,5,,,,,2.50,,,,,
AB20,,,VCCO_5,,,5,,,,,2.50,,,,,
AB21,,,VCCO_5,,,5,,,,,2.50,,,,,
AB22,,,VCCO_6,,,6,,,,,2.50,,,,,
AB23,,DIFFM,IO_L32P_6,UNUSED,,6,,,,,,,,,,
AB24,,DIFFS,IO_L32N_6,UNUSED,,6,,,,,,,,,,
AB25,,DIFFM,IO_L40P_6,UNUSED,,6,,,,,,,,,,
AB26,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,,
AB27,,DIFFM,IO_L46P_6,UNUSED,,6,,,,,,,,,,
AB28,,DIFFS,IO_L46N_6,UNUSED,,6,,,,,,,,,,
