KU    , Date  , Time    , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Weekcode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Comments
041266, 010720, 17:08:50,   0,   0,  0.0,3129,3292, 80.3,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  *****,  90,   SMPTE, spare part unit
041992, 010720, 17:15:54,   0,   0,  0.0,3131,3288, 79.9,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  *****,  90,   SMPTE, gbg1
042018, 010720, 17:23:41,   0,   0,  0.0,3130,3291, 80.1,   0,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  *****,  90,   SMPTE, gbg2
900000, 010720, 17:40:13,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3127,3294, 80.1,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
052257, 010720, 17:41:07,   0,   0,  0.0,3129,3289, 79.9,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  *****,  90,   SMPTE, gbg3
900000, 010808, 13:32:52,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3124,3294, 79.7,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041411, 010808, 13:35:52,   0,   0,  0.0,3131,3287, 80.0,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  01357,  90,   SMPTE, spare test
900000, 010809,  9:50:55,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3130,3297, 79.8,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041411, 010809,  9:53:30,   0,   0,  0.0,3127,3292, 80.1,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04396,  90,   SMPTE, POST GROUP
900000, 010809, 11:01:30,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3128,3297, 79.4,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041346, 010809, 11:03:39,   0,   0,  0.0,3131,3288, 80.5,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04377,  90,   SMPTE, WARNER BROS. FEATURE ANI.
900000, 010809, 11:32:31,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3128,3298, 80.2,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
900000, 010809, 11:34:10,   0,   0,  0.0,3127,3319, 80.0,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04393,  90,   SMPTE, SOUND SVCS. ADVANCED POST
900000, 010910, 15:40:45,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3120,3292, 80.1,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
042112, 010910, 15:43:14,   0,   0,  0.0,3132,3289, 80.1,  68,   0,80328,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04465,  90,   SMPTE, rainmaker digital pictures
900000, 010911, 11:04:50,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3118,3291, 80.1,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
042057, 010911, 11:06:30,   0,   0,  0.0,3128,3290, 80.0,  68,   0,   0,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,  04483,  90,   SMPTE, Fox Digital
900000, 010913, 10:31:46,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3124,3293, 79.5,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
041477, 010913, 10:34:02,   0,   0,  0.0,3130,3290, 80.1,  68,   0,-315328086893102826000000000000000000,   0,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,  04510,  90,   SMPTE, LASER PACIFIC
900000, 010913, 11:30:06,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,   0,   0,  0.0,3123,3293, 80.0,   0,  -0,   ,  ,  ,  ,    ,    ,    ,    ,       ,    ,        , ref sensor
