 63  59  48  25  14 
 59  55  45  24  14 
 55  51  42  23  14 
 51  48  40  21  13 
 47  44  37  20  13 
 43  40  34  19  13 
 39  37  31  18  12 
 35  33  28  17  12 
 31  29  25  16  12 
 27  26  22  15  11 
 23  22  19  14  11 
 19  18  16  13  11 
 15  15  14  11  10 
 11  11  11  10  10 
 7  7  8  9  10 
 3  4  5  8  9 
