Release 7.1.03i - par H.41
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Mon Oct 10 17:19:29 2005

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_gt11_map.ncd
#OUTPUT FILE:      my_gt11_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -12
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AB13,,,VCCO_4,,,4,,,,,2.50,,,,,
AB14,,LOWCAPIOB,IO_L5P_GC_LC_4,UNUSED,,4,,,,,,,,,,
AB15,,IOBM,IO_L2P_7,UNUSED,,7,,,,,,,,,,
AB16,,IOBS,IO_L10N_7,UNUSED,,7,,,,,,,,,,
AB17,,IOBM,IO_L10P_7,UNUSED,,7,,,,,,,,,,
AB18,,,GND,,,,,,,,,,,,,
AB19,TXDATA_IN<16>,IOB,IO_L26N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AB20,TXDATA_IN<14>,IOB,IO_L26P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AB21,,IOBS,IO_L32N_7,UNUSED,,7,,,,,,,,,,
AB22,TXDATA_IN<8>,IOB,IO_L32P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AB23,,,VCCO_7,,,7,,,,,2.50,,,,,
AB24,TXOUTCLK2_OUT,IOB,IO_L25P_CC_LC_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
AB25,,,VTTXA_105,,,,,,,,,,,,,
AB26,,OPAD,TXPPADA_105,UNUSED,,,,,,,,,,,,
AC1,,IPAD,RXPPADA_110,UNUSED,,,,,,,,,,,,
AC2,,,GNDA_110,,,,,,,,,,,,,
AC3,,LOWCAPIOB,IO_L24N_CC_LC_8,UNUSED,,8,,,,,,,,,,
